NLC,TLC,Station Name,Region,Local Authority,Constituency,OS Grid Easting,OS Grid Northing,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,SRS Code,SRS Description,NR Route,CRP Line Designation,Entries & Exits_Full,Entries & Exits_Reduced,Entries & Exits_Season,1718 Entries & Exits,1617 Entries & Exits,1718 Interchanges,1718 Entries & Exits - GB rank,1617 Entries & Exits - GB rank,Large station change flag,Small station change flag,% Change,Explanation of large change 1718,Source for explanation of large change 1718
1413,HDH,Hampstead Heath,London,Camden (London),Hampstead and Kilburn,527265,185630,London Overground,,,London Travelcard Area Station,E.02,Willesden Jcn - Gospel Oak,Anglia,," 	851,676 "," 	1,389,882 "," 	1,019,932 "," 	3,261,490 "," 	3,372,224 ",, 	166 , 	158 ,0,0,-3.3%,,
1415,KBN,Kilburn High Road,London,Camden (London),Hampstead and Kilburn,525475,183590,London Overground,,,London Travelcard Area Station,N.11,Euston - Watford Junction (DC Lines),London North Western,," 	154,916 "," 	407,914 "," 	288,846 "," 	851,676 "," 	929,190 ",, 	629 , 	586 ,0,0,-8.3%,,
1419,QPW,Queen's Park (Gt London),London,Brent (London),Hampstead and Kilburn,524600,183200,London Underground,,,London Travelcard Area Station,N.11,Euston - Watford Junction (DC Lines),London North Western,," 	831,288 "," 	1,442,544 "," 	653,096 "," 	2,926,928 "," 	2,931,102 ",, 	199 , 	196 ,0,0,-0.1%,,
1421,WHD,West Hampstead,London,Camden (London),Hampstead and Kilburn,525520,184725,London Overground,WEST HAMPSTEAD BR,,London Travelcard Area Station,E.02,Willesden Jcn - Gospel Oak,Anglia,," 	1,045,890 "," 	1,544,376 "," 	2,012,836 "," 	4,603,102 "," 	4,722,132 "," 	776,914 ", 	106 , 	105 ,0,0,-2.5%,,
1422,NWB,North Wembley,London,Brent (London),Brent North,517660,186220,London Underground,,,London Travelcard Area Station,N.11,Euston - Watford Junction (DC Lines),London North Western,," 	227,768 "," 	428,628 "," 	283,336 "," 	939,732 "," 	984,332 ",, 	586 , 	557 ,0,0,-4.5%,,
1423,WMB,Wembley Central,London,Brent (London),Brent North,518210,185090,London Underground,,,London Travelcard Area Station,N.01,Euston - Rugby,London North Western,," 	663,452 "," 	1,682,764 "," 	997,478 "," 	3,343,694 "," 	3,342,236 "," 	70,081 ", 	163 , 	162 ,0,0,0.0%,,
1429,DLK,Dalston (Kingsland),London,Hackney (London),Hackney North and Stoke Newington,533525,185005,London Overground,,,London Travelcard Area Station,E.03,Gospel Oak - Stratford,Anglia,," 	1,216,546 "," 	2,490,810 "," 	1,846,480 "," 	5,553,836 "," 	6,184,348 ",, 	87 , 	82 ,1,0,-10.2%,Consistent increase at Hackney Downs since becoming part of the London Overground Concession in 2015. Subsequent reduction at Hackney Central and Dalston Kingsland,
1434,HDL,Headstone Lane,London,Harrow (London),Harrow West,513870,190590,London Overground,,,London Travelcard Area Station,N.11,Euston - Watford Junction (DC Lines),London North Western,," 	121,378 "," 	245,280 "," 	87,844 "," 	454,502 "," 	476,506 ",, 	941 , 	910 ,0,0,-4.6%,,
1437,BSY,Brondesbury,London,Brent (London),Hampstead and Kilburn,524755,184450,London Overground,,,London Travelcard Area Station,E.02,Willesden Jcn - Gospel Oak,Anglia,," 	535,442 "," 	900,464 "," 	1,122,344 "," 	2,558,250 "," 	2,657,888 ",, 	230 , 	219 ,0,0,-3.7%,,
1438,BSP,Brondesbury Park,London,Brent (London),Hampstead and Kilburn,524225,183940,London Overground,,,London Travelcard Area Station,E.02,Willesden Jcn - Gospel Oak,Anglia,," 	348,238 "," 	384,746 "," 	352,346 "," 	1,085,330 "," 	1,045,944 ",, 	524 , 	532 ,0,0,3.8%,,
1439,CIR,Caledonian Road & Barnsbury,London,Islington (London),Islington South and Finsbury,530695,184363,London Overground,,,London Travelcard Area Station,E.03,Gospel Oak - Stratford,Anglia,," 	470,256 "," 	574,202 "," 	685,956 "," 	1,730,414 "," 	1,837,942 ",, 	345 , 	323 ,0,0,-5.9%,,
1440,CMD,Camden Road,London,Camden (London),Holborn and St. Pancras,529175,184185,London Overground,,,London Travelcard Area Station,E.03,Gospel Oak - Stratford,Anglia,," 	1,289,222 "," 	1,806,566 "," 	1,920,492 "," 	5,016,280 "," 	5,257,708 "," 	52,351 ", 	96 , 	93 ,0,0,-4.6%,,
1441,CNN,Canonbury,London,Islington (London),Islington North,532380,185040,London Overground,,,London Travelcard Area Station,E.03,Gospel Oak - Stratford,Anglia,," 	855,272 "," 	1,322,170 "," 	797,976 "," 	2,975,418 "," 	3,005,382 "," 	413,034 ", 	188 , 	187 ,0,0,-1.0%,,
1443,DLJ,Dalston Junction,London,Hackney (London),Hackney North and Stoke Newington,533570,184780,London Overground,,,London Travelcard Area Station,n/a,East London Line,South East,," 	1,365,066 "," 	2,691,466 "," 	1,620,254 "," 	5,676,786 "," 	5,296,838 ",, 	85 , 	92 ,0,0,7.2%,,
1444,EUS,Euston,London,Camden (London),Holborn and St. Pancras,529545,182675,Network Rail,LONDON BR,,London Travelcard Area Station,N.01,Euston - Rugby,London North Western,," 	6,418,794 "," 	29,221,486 "," 	9,105,536 "," 	44,745,816 "," 	44,059,402 "," 	4,073,344 ", 	5 , 	5 ,0,0,1.6%,,
1445,FNY,Finchley Road & Frognal,London,Camden (London),Hampstead and Kilburn,526070,185050,London Overground,,,London Travelcard Area Station,E.02,Willesden Jcn - Gospel Oak,Anglia,," 	480,350 "," 	638,372 "," 	912,440 "," 	2,031,162 "," 	2,133,790 ",, 	283 , 	274 ,0,0,-4.8%,,
1447,KNL,Kensal Green,London,Brent (London),Brent Central,523215,182785,London Underground,,,London Travelcard Area Station,N.11,Euston - Watford Junction (DC Lines),London North Western,," 	155,094 "," 	306,006 "," 	196,850 "," 	657,950 "," 	682,728 ",, 	752 , 	725 ,0,0,-3.6%,,
1448,KNR,Kensal Rise,London,Brent (London),Hampstead and Kilburn,523560,183240,London Overground,,,London Travelcard Area Station,E.02,Willesden Jcn - Gospel Oak,Anglia,," 	689,682 "," 	946,534 "," 	1,074,532 "," 	2,710,748 "," 	2,700,132 ",, 	216 , 	215 ,0,0,0.4%,,
1449,KTW,Kentish Town West,London,Camden (London),Holborn and St. Pancras,528610,184700,London Overground,,,London Travelcard Area Station,E.03,Gospel Oak - Stratford,Anglia,," 	566,104 "," 	717,266 "," 	678,504 "," 	1,961,874 "," 	2,025,772 ",, 	297 , 	289 ,0,0,-3.2%,,
1451,SOH,South Hampstead,London,Camden (London),Hampstead and Kilburn,526390,184075,London Overground,,,London Travelcard Area Station,N.11,Euston - Watford Junction (DC Lines),London North Western,," 	87,726 "," 	151,308 "," 	183,316 "," 	422,350 "," 	423,328 ",, 	982 , 	968 ,0,0,-0.2%,,
1452,SAT,South Acton,London,Ealing (London),Ealing Central and Acton,520170,179280,London Overground,,,London Travelcard Area Station,E.01,Richmond - Willesden Jcn,Anglia,," 	262,072 "," 	281,680 "," 	276,142 "," 	819,894 "," 	792,242 ",, 	649 , 	662 ,0,0,3.5%,,
1453,SOK,South Kenton,London,Brent (London),Brent North,517330,187060,London Underground,,,London Travelcard Area Station,N.11,Euston - Watford Junction (DC Lines),London North Western,," 	148,742 "," 	245,574 "," 	175,952 "," 	570,268 "," 	592,604 ",, 	821 , 	793 ,0,0,-3.8%,,
1454,SBP,Stonebridge Park,London,Brent (London),Brent Central,519660,184210,London Underground,,,London Travelcard Area Station,N.11,Euston - Watford Junction (DC Lines),London North Western,," 	196,890 "," 	336,094 "," 	244,956 "," 	777,940 "," 	810,918 ",, 	673 , 	651 ,0,0,-4.1%,,
1457,WIJ,Willesden Junction,London,Brent (London),Brent Central,521860,182970,London Overground,,,London Travelcard Area Station,N.11,Euston - Watford Junction (DC Lines),Anglia,," 	1,626,546 "," 	2,415,810 "," 	2,027,250 "," 	6,069,606 "," 	6,196,804 "," 	2,339,989 ", 	81 , 	81 ,0,0,-2.1%,,
1475,MYB,Marylebone,London,City of Westminster (London),Cities of London and Westminster,527550,182000,Chiltern Railways,LONDON BR,,London Travelcard Area Station,M.01,Marylebone - Aynho Jcn,London North Western,," 	3,231,254 "," 	7,758,758 "," 	5,703,454 "," 	16,693,466 "," 	16,666,936 "," 	697,495 ", 	27 , 	26 ,0,0,0.2%,,
1478,NLT,Northolt Park,London,Ealing (London),Ealing North,513827,185570,Chiltern Railways,,,London Travelcard Area Station,M.01,Marylebone - Aynho Jcn,London North Western,," 	82,108 "," 	83,570 "," 	91,126 "," 	256,804 "," 	259,380 ",," 	1,264 "," 	1,247 ",0,0,-1.0%,,
1483,SUD,Sudbury & Harrow Road,London,Brent (London),Brent North,516885,185290,Chiltern Railways,,,London Travelcard Area Station,M.01,Marylebone - Aynho Jcn,London North Western,," 	18,930 "," 	3,438 "," 	21,704 "," 	44,072 "," 	37,742 ",," 	2,028 "," 	2,067 ",1,0,16.8%,,
1484,SDH,Sudbury Hill Harrow,London,Harrow (London),Harrow West,515465,185710,Chiltern Railways,,,London Travelcard Area Station,M.01,Marylebone - Aynho Jcn,London North Western,," 	34,784 "," 	12,252 "," 	30,070 "," 	77,106 "," 	68,754 ",," 	1,833 "," 	1,855 ",1,0,12.1%,,
1509,WCX,Wembley Stadium,London,Brent (London),Brent Central,518955,185340,Chiltern Railways,,,London Travelcard Area Station,M.01,Marylebone - Aynho Jcn,London North Western,," 	156,154 "," 	569,358 "," 	152,300 "," 	877,812 "," 	804,824 ",, 	613 , 	656 ,0,0,9.1%,,
1519,CRI,Cricklewood,London,Barnet (London),Finchley and Golders Green,524000,185910,Govia Thameslink Railway,,,London Travelcard Area Station,I.01,St Pancras - Bedford,London North East and East Midlands,," 	240,740 "," 	381,934 "," 	344,398 "," 	967,072 "," 	947,640 ",, 	574 , 	578 ,0,0,2.1%,,
1521,HDN,Harlesden,London,Brent (London),Brent Central,520940,183370,London Underground,,,London Travelcard Area Station,N.11,Euston - Watford Junction (DC Lines),London North Western,," 	266,976 "," 	432,066 "," 	334,952 "," 	1,033,994 "," 	1,056,082 ",, 	547 , 	529 ,0,0,-2.1%,,
1522,HEN,Hendon,London,Barnet (London),Hendon,522140,188270,Govia Thameslink Railway,,,London Travelcard Area Station,I.01,St Pancras - Bedford,London North East and East Midlands,," 	271,602 "," 	335,252 "," 	583,020 "," 	1,189,874 "," 	1,127,160 ",, 	477 , 	506 ,0,0,5.6%,,
1524,UHL,Upper Holloway,London,Islington (London),Islington North,529750,186630,London Overground,,,London Travelcard Area Station,E.04,Gospel Oak - Woodgrange Park,Anglia,," 	175,794 "," 	215,604 "," 	304,888 "," 	696,286 "," 	415,180 ",, 	720 , 	983 ,1,0,67.7%,Gospel Oak to Barking Line reopened January 2018,https://www.networkrail.co.uk/running-the-railway/our-routes/anglia/gospel-oak-barking-electrification/
1525,WHP,West Hampstead Thameslink,London,Camden (London),Hampstead and Kilburn,525472,184836,Govia Thameslink Railway,WEST HAMPSTEAD BR,,London Travelcard Area Station,I.01,St Pancras - Bedford,London North East and East Midlands,," 	1,039,948 "," 	1,193,766 "," 	1,613,388 "," 	3,847,102 "," 	3,690,190 "," 	1,090,687 ", 	139 , 	145 ,0,0,4.3%,,
1527,MIL,Mill Hill Broadway,London,Barnet (London),Hendon,521320,191925,Govia Thameslink Railway,,,London Travelcard Area Station,I.01,St Pancras - Bedford,London North East and East Midlands,," 	589,186 "," 	641,830 "," 	701,068 "," 	1,932,084 "," 	1,883,796 ",, 	302 , 	308 ,0,0,2.6%,,
1553,KTN,Kentish Town,London,Camden (London),Holborn and St. Pancras,529035,185150,Govia Thameslink Railway,,,London Travelcard Area Station,B.14,Thameslink Routes,London North East and East Midlands,," 	867,376 "," 	1,007,478 "," 	944,558 "," 	2,819,412 "," 	2,732,094 ",, 	205 , 	211 ,0,0,3.2%,,
1555,STP,St.Pancras,London,Camden (London),Holborn and St. Pancras,530000,183160,Network Rail,LONDON BR,,London Travelcard Area Station,I.01,St Pancras - Bedford,London North East and East Midlands,," 	7,203,020 "," 	15,508,584 "," 	11,910,574 "," 	34,622,178 "," 	33,492,476 "," 	4,393,420 ", 	9 , 	10 ,0,0,3.4%,,
1659,ZCW,Canada Water,London,Southwark (London),Bermondsey and Old Southwark,535475,179475,London Underground,,,London Travelcard Area Station,n/a,East London Line,South East,," 	5,992,412 "," 	10,354,352 "," 	8,650,436 "," 	24,997,200 "," 	25,015,768 ", 	728 , 	17 , 	17 ,0,0,-0.1%,,
3000,AML,Acton Main Line,London,Ealing (London),Ealing Central and Acton,520360,181230,TfL Rail,,,London Travelcard Area Station,J.01,Paddington - Heathrow Airport Jcn,Western,," 	80,670 "," 	75,618 "," 	107,302 "," 	263,590 "," 	238,536 ",," 	1,247 "," 	1,290 ",1,0,10.5%,Acton Main Line has increased capacity in preparation for crossrail,
3057,SRU,South Ruislip,London,Hillingdon (London),Uxbridge and South Ruislip,511070,185440,London Underground,,,London Travelcard Area Station,M.01,Marylebone - Aynho Jcn,London North Western,," 	103,842 "," 	76,950 "," 	42,096 "," 	222,888 "," 	229,314 ",," 	1,337 "," 	1,318 ",0,0,-2.8%,,
3059,WRU,West Ruislip,London,Hillingdon (London),"Ruislip, Northwood and Pinner",508370,186810,London Underground,,,London Travelcard Area Station,M.01,Marylebone - Aynho Jcn,London North Western,," 	86,468 "," 	57,586 "," 	34,854 "," 	178,908 "," 	189,334 "," 	3,962 "," 	1,450 "," 	1,415 ",0,0,-5.5%,,
3087,PAD,Paddington,London,City of Westminster (London),Cities of London and Westminster,526648,181251,Network Rail,LONDON BR,,London Travelcard Area Station,J.01,Paddington - Heathrow Airport Jcn,Western,," 	6,922,512 "," 	18,448,750 "," 	11,207,030 "," 	36,578,292 "," 	35,835,970 "," 	2,704,165 ", 	8 , 	8 ,0,0,2.1%,,
3092,KPA,Kensington Olympia,London,Hammersmith and Fulham (London),Hammersmith,524325,179180,London Overground,LONDON BR,,London Travelcard Area Station,B.13,West London Line,Wessex,," 	1,117,132 "," 	1,588,218 "," 	1,344,104 "," 	4,049,454 "," 	4,117,608 "," 	4,158 ", 	128 , 	121 ,0,0,-1.7%,,
3098,CBP,Castle Bar Park,London,Ealing (London),Ealing North,515850,181765,Great Western Railway,,,London Travelcard Area Station,J.08,Greenford Lines,Western,," 	28,504 "," 	22,100 "," 	29,782 "," 	80,386 "," 	151,942 ",," 	1,821 "," 	1,526 ",1,0,-47.1%,First full year with Greenford branch line trains terminating at West Ealing instead of Paddington - this started in September 2016,https://web.archive.org/web/20161014155456/https://www.gwr.com/travel-updates/planned-engineering/greenford-line-alterations
3099,DRG,Drayton Green,London,Ealing (London),Ealing North,515960,181065,Great Western Railway,,,London Travelcard Area Station,J.08,Greenford Lines,Western,," 	16,928 "," 	7,966 "," 	8,684 "," 	33,578 "," 	102,372 ",," 	2,107 "," 	1,702 ",1,0,-67.2%,First full year with Greenford branch line trains terminating at West Ealing instead of Paddington - this started in September 2016,https://web.archive.org/web/20161014155456/https://www.gwr.com/travel-updates/planned-engineering/greenford-line-alterations
3136,GFD,Greenford,London,Ealing (London),Ealing North,514810,183900,London Underground,,,London Travelcard Area Station,J.08,Greenford Lines,Western,," 	57,494 "," 	58,032 "," 	35,274 "," 	150,800 "," 	229,870 ",," 	1,534 "," 	1,313 ",1,0,-34.4%,First full year with Greenford branch line trains terminating at West Ealing instead of Paddington - this started in September 2016,https://web.archive.org/web/20161014155456/https://www.gwr.com/travel-updates/planned-engineering/greenford-line-alterations
3138,SGN,South Greenford,London,Ealing (London),Ealing North,515465,182960,Great Western Railway,,,London Travelcard Area Station,J.08,Greenford Lines,Western,," 	10,524 "," 	9,450 "," 	6,528 "," 	26,502 "," 	53,110 ",," 	2,162 "," 	1,961 ",1,0,-50.1%,First full year with Greenford branch line trains terminating at West Ealing instead of Paddington - this started in September 2016,https://web.archive.org/web/20161014155456/https://www.gwr.com/travel-updates/planned-engineering/greenford-line-alterations
3174,WDT,West Drayton,London,Hillingdon (London),Uxbridge and South Ruislip,506120,180120,TfL Rail,,,London Travelcard Area Station,J.02,Heathrow Airport Jcn - Reading,Western,," 	579,534 "," 	831,732 "," 	634,358 "," 	2,045,624 "," 	2,066,386 ",, 	281 , 	283 ,0,0,-1.0%,,
3186,HAY,Hayes & Harlington,London,Hillingdon (London),Hayes and Harlington,509714,179422,TfL Rail,,,London Travelcard Area Station,K.03,Plymouth - Penzance,Western,," 	1,080,006 "," 	1,346,998 "," 	1,378,240 "," 	3,805,244 "," 	3,844,544 "," 	58,681 ", 	140 , 	136 ,0,0,-1.0%,,
3187,STL,Southall,London,Ealing (London),"Ealing, Southall",512627,179804,TfL Rail,,,London Travelcard Area Station,J.01,Paddington - Heathrow Airport Jcn,Western,," 	633,724 "," 	996,930 "," 	1,026,174 "," 	2,656,828 "," 	2,683,640 ",, 	221 , 	216 ,0,0,-1.0%,,
3188,WEA,West Ealing,London,Ealing (London),Ealing North,516666,180735,TfL Rail,,,London Travelcard Area Station,J.01,Paddington - Heathrow Airport Jcn,Western,," 	295,994 "," 	250,046 "," 	488,620 "," 	1,034,660 "," 	923,710 "," 	84,457 ", 	546 , 	588 ,1,0,12.0%,First full year with Greenford branch line trains terminating at West Ealing instead of Paddington - this started in September 2016,https://web.archive.org/web/20161014155456/https://www.gwr.com/travel-updates/planned-engineering/greenford-line-alterations
3190,EAL,Ealing Broadway,London,Ealing (London),Ealing Central and Acton,517938,180913,TfL Rail,,,London Travelcard Area Station,J.01,Paddington - Heathrow Airport Jcn,Western,," 	1,624,750 "," 	2,324,396 "," 	2,217,346 "," 	6,166,492 "," 	6,372,718 "," 	9,962 ", 	80 , 	78 ,0,0,-3.2%,,
3191,HAN,Hanwell,London,Ealing (London),Ealing North,515390,180520,TfL Rail,,,London Travelcard Area Station,J.01,Paddington - Heathrow Airport Jcn,Western,," 	143,406 "," 	117,134 "," 	122,950 "," 	383,490 "," 	354,886 ",," 	1,034 "," 	1,069 ",0,0,8.1%,,
4935,ZLW,Whitechapel,London,Tower Hamlets (London),Bethnal Green and Bow,534715,181845,London Underground,,,London Travelcard Area Station,n/a,East London Line,South East,," 	3,679,322 "," 	6,242,378 "," 	4,521,248 "," 	14,442,948 "," 	14,127,954 ", 	71 , 	31 , 	31 ,0,0,2.2%,,
5046,BKJ,Beckenham Junction,London,Bromley (London),Beckenham,537380,169865,Southeastern,,,London Travelcard Area Station,A.01,Victoria Lines,South East,," 	705,750 "," 	855,436 "," 	1,219,072 "," 	2,780,258 "," 	2,777,104 "," 	82,096 ", 	208 , 	207 ,0,0,0.1%,,
5047,CFB,Catford Bridge,London,Lewisham (London),Lewisham East,537365,173600,Southeastern,CATFORD BR,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,," 	542,096 "," 	696,902 "," 	1,335,974 "," 	2,574,972 "," 	2,549,568 "," 	26,034 ", 	228 , 	227 ,0,0,1.0%,,
5048,CLK,Clock House,London,Bromley (London),Lewisham West and Penge,536370,169550,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,," 	316,608 "," 	286,752 "," 	540,374 "," 	1,143,734 "," 	1,157,240 ", 	44 , 	495 , 	488 ,0,0,-1.2%,,
5049,ELE,Elmers End,London,Bromley (London),Beckenham,535780,168411,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,," 	300,706 "," 	278,488 "," 	561,326 "," 	1,140,520 "," 	1,200,834 ", 	9 , 	497 , 	468 ,0,0,-5.0%,,
5050,HYS,Hayes (Kent),London,Bromley (London),Beckenham,540030,166060,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,," 	323,108 "," 	279,056 "," 	535,186 "," 	1,137,350 "," 	1,166,498 ",, 	500 , 	484 ,0,0,-2.5%,,
5051,LEW,Lewisham,London,Lewisham (London),"Lewisham, Deptford",538050,175950,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,," 	2,194,714 "," 	2,880,516 "," 	5,637,410 "," 	10,712,640 "," 	10,748,918 "," 	2,201,168 ", 	39 , 	39 ,0,0,-0.3%,,
5053,LSY,Lower Sydenham,London,Lewisham (London),Lewisham West and Penge,536830,171370,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,," 	166,400 "," 	184,252 "," 	249,206 "," 	599,858 "," 	585,110 ",, 	793 , 	798 ,0,0,2.5%,,
5054,WWI,West Wickham,London,Bromley (London),Beckenham,538276,166565,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,," 	285,578 "," 	244,682 "," 	375,714 "," 	905,974 "," 	939,788 ",, 	600 , 	579 ,0,0,-3.6%,,
5056,EDN,Eden Park,London,Bromley (London),Beckenham,537420,167520,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,," 	204,258 "," 	183,728 "," 	194,118 "," 	582,104 "," 	614,694 ",, 	809 , 	774 ,0,0,-5.3%,,
5057,LAD,Ladywell,London,Lewisham (London),"Lewisham, Deptford",537730,174890,Southeastern,,,London Travelcard Area Station,B.05,Brighton - Havant,South East,," 	313,376 "," 	379,568 "," 	517,578 "," 	1,210,522 "," 	1,291,462 ",, 	467 , 	439 ,0,0,-6.3%,,
5058,NBC,New Beckenham,London,Bromley (London),Lewisham West and Penge,536720,170470,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,," 	238,584 "," 	230,352 "," 	277,940 "," 	746,876 "," 	788,496 ",, 	689 , 	664 ,0,0,-5.3%,,
5059,SAJ,St.John's,London,Lewisham (London),"Lewisham, Deptford",537435,176345,Southeastern,,,London Travelcard Area Station,A.03,London - Chislehurst,South East,," 	164,182 "," 	156,452 "," 	361,030 "," 	681,664 "," 	732,794 ",, 	732 , 	696 ,0,0,-7.0%,,
